model_id,model_name,tissue,label,library,screen_ids,score
ACH-000965,RL95-2,Endometrium,MSI,Avana,SC-000965.AV01,-3.5908922123717106
ACH-000974,SNG-M,Endometrium,MSI,Avana,SC-000974.AV01,-3.5305205738366636
ACH-000978,EN,Endometrium,MSI,Avana,SC-000978.AV01,-0.13644844401870945
ACH-000988,MFE-319,Endometrium,MSI,Avana,SC-000988.AV01,-0.682742520930339
ACH-001517,HEC-1,Endometrium,MSI,Avana,SC-001517.AV01,-0.07381133283402971
ACH-000293,KLE,Endometrium,MSS,Avana,SC-000293.AV01,-0.11132221965524414
ACH-000913,ESS-1,Endometrium,MSS,Avana,SC-000913.AV01,0.17661424459209885
ACH-000943,RKO,Large Intestine,MSI,Avana,SC-000943.AV01,-1.6967284990987768
ACH-000950,LoVo,Large Intestine,MSI,Avana,SC-000950.AV01,-0.4040344469978535
ACH-000957,LS-180,Large Intestine,MSI,Avana,SC-000957.AV01,-1.356226651518841
ACH-000958,SW48,Large Intestine,MSI,Avana,SC-000958.AV01,-1.6093553798765572
ACH-000963,CCK-81,Large Intestine,MSI,Avana,SC-000963.AV01,-0.3398967504146375
ACH-000969,KM12,Large Intestine,MSI,Avana,SC-000969.AV01,-1.4068743278556162
ACH-001345,GP5d,Large Intestine,MSI,Avana,SC-001345.AV01,-0.4440227862464678
ACH-000007,LS-513,Large Intestine,MSS,Avana,SC-000007.AV01,-0.6421656176212722
ACH-000009,C2BBe1,Large Intestine,MSS,Avana,SC-000009.AV01,0.07304530526573233
ACH-000252,LS1034,Large Intestine,MSS,Avana,SC-000252.AV01,0.06601352603549558
ACH-000350,COLO-678,Large Intestine,MSS,Avana,SC-000350.AV01,0.43993939056761333
ACH-000381,T84,Large Intestine,MSS,Avana,SC-000381.AV01,-0.27239947181470403
ACH-000403,NCI-H747,Large Intestine,MSS,Avana,SC-000403.AV01,0.2619039398966553
ACH-000421,SW837,Large Intestine,MSS,Avana,SC-000421.AV01,0.06668404551840938
ACH-000470,SW1463,Large Intestine,MSS,Avana,SC-000470.AV01,-0.0765650661831657
ACH-000489,SW1116,Large Intestine,MSS,Avana,SC-000489.AV01,-0.005982061667046963
ACH-000491,NCI-H716,Large Intestine,MSS,Avana,SC-000491.AV01,0.40305635886978997
ACH-000532,SNU-61,Large Intestine,MSS,Avana,SC-000532.AV01,-0.04130006968676181
ACH-000552,HT-29,Large Intestine,MSS,Avana,SC-000552.AV01,0.10474818256211288
ACH-000651,SW620,Large Intestine,MSS,Avana,SC-000651.AV01,0.4298682317097971
ACH-000680,SW948,Large Intestine,MSS,Avana,SC-000680.AV01,-1.1976491218457133
ACH-000820,SW403,Large Intestine,MSS,Avana,SC-000820.AV01,-0.04090926822561064
ACH-000926,HT55,Large Intestine,MSS,Avana,SC-000926.AV01,0.2189647667240594
ACH-000935,MDST8,Large Intestine,MSS,Avana,SC-000935.AV01,-0.2623008679189142
ACH-000986,HT-115,Large Intestine,MSS,Avana,SC-000986.AV01,-0.007839603978575842
ACH-000657,A2780,Ovary,MSI,Avana,SC-000657.AV01,0.14203843338548522
ACH-000811,SK-OV-3,Ovary,MSI,Avana,SC-000811.AV01,-0.1929835167114667
ACH-000885,TOV-21G,Ovary,MSI,Avana,SC-000885.AV01,-2.0638994484851096
ACH-000936,EFO-27,Ovary,MSI,Avana,SC-000936.AV01,-0.7315745596680778
ACH-000947,OVK-18,Ovary,MSI,Avana,SC-000947.AV01,-2.5287149025994218
ACH-000048,TOV-112D,Ovary,MSS,Avana,SC-000048.AV01,-0.1426498610128116
ACH-000132,JHOS-2,Ovary,MSS,Avana,SC-000132.AV01,-0.08756720374314053
ACH-000291,OV-90,Ovary,MSS,Avana,SC-000291.AV01,-0.22042384473470514
ACH-000308,EFO-21,Ovary,MSS,Avana,SC-000308.AV01,0.22479574836096428
ACH-000524,KURAMOCHI,Ovary,MSS,Avana,SC-000524.AV01,-0.005138403624565982
ACH-000527,OVISE,Ovary,MSS,Avana,SC-000527.AV01,0.08843478884281343
ACH-000584,JHOS-4,Ovary,MSS,Avana,SC-000584.AV01,-0.44612247036835306
ACH-000663,OVTOKO,Ovary,MSS,Avana,SC-000663.AV01,0.07163218792954681
ACH-000688,OV-7,Ovary,MSS,Avana,SC-000688.AV01,0.107236334762284
ACH-000696,OVCAR-8,Ovary,MSS,Avana,SC-000696.AV01,0.08677214050886134
ACH-000713,Caov-3,Ovary,MSS,Avana,SC-000713.AV01,0.1958886671551705
ACH-000719,RMG-I,Ovary,MSS,Avana,SC-000719.AV02,-0.2911641106371238
ACH-000906,ES-2,Ovary,MSS,Avana,SC-000906.AV01,-0.23440223387073156
ACH-001151,OVCAR-5,Ovary,MSS,Avana,SC-001151.AV01,-0.11638762099616744
ACH-001374,PA-1,Ovary,MSS,Avana,SC-001374.AV01,-0.037691872411006265
ACH-001418,UWB1.289,Ovary,MSS,Avana,SC-001418.AV01,-0.22307934493143972
ACH-001630,PEO1,Ovary,MSS,Avana,SC-001630.AV01,-0.7773113274678836
ACH-000911,NUGC-3,Stomach,MSI,Avana,SC-000911.AV01,-0.7485307991252275
ACH-000932,SNU-1,Stomach,MSI,Avana,SC-000932.AV01,-2.0537462183656094
ACH-000948,23132-87,Stomach,MSI,Avana,SC-000948.AV02,-2.4965138106804483
ACH-000047,GCIY,Stomach,MSS,Avana,SC-000047.AV01,-0.3400304598888475
ACH-000247,OCUM-1,Stomach,MSS,Avana,SC-000247.AV01,-1.683013825651653
ACH-000303,SNU-5,Stomach,MSS,Avana,SC-000303.AV01,-2.9498370757537957
ACH-000356,MKN45,Stomach,MSS,Avana,SC-000356.AV01,0.0025516265384610895
ACH-000427,NCI-N87,Stomach,MSS,Avana,SC-000427.AV01,-0.0027463224708004132
ACH-000581,SNU-16,Stomach,MSS,Avana,SC-000581.AV02,-0.2627608192839732
ACH-000616,Hs-746T,Stomach,MSS,Avana,SC-000616.AV01,0.17016552444524274
ACH-000633,FU97,Stomach,MSS,Avana,SC-000633.AV01,-0.022251793044187743
ACH-000793,KATOIII,Stomach,MSS,Avana,SC-000793.AV01,0.049462158417249186
ACH-000847,HGC-27,Stomach,MSS,Avana,SC-000847.AV01,0.08642923720093469
ACH-000880,AGS,Stomach,MSS,Avana,SC-000880.AV01,-0.41313460389028034
ACH-001653,SK-GT-2,Stomach,MSS,Avana,SC-001653.AV01,0.16035428423744197
ACH-000864,COLO-684,Endometrium,MSI,KY,SC-000864.KY01,0.015927288993755576
ACH-000879,MFE-296,Endometrium,MSI,KY,SC-000879.KY01,-1.908177712757019
ACH-000965,RL95-2,Endometrium,MSI,KY,SC-000965.KY01,-6.74427177089017
ACH-000974,SNG-M,Endometrium,MSI,KY,SC-000974.KY01,-2.1351875159450464
ACH-001517,HEC-1,Endometrium,MSI,KY,SC-001517.KY01,0.2837896031233984
ACH-000192,MFE-280,Endometrium,MSS,KY,SC-000192.KY01,0.3332486446906012
ACH-000293,KLE,Endometrium,MSS,KY,SC-000293.KY01,0.4367274266754881
ACH-000913,ESS-1,Endometrium,MSS,KY,SC-000913.KY01,0.017184746702462773
ACH-000943,RKO,Large Intestine,MSI,KY,SC-000943.KY01,-4.706138425507311
ACH-000950,LoVo,Large Intestine,MSI,KY,SC-000950.KY01,-4.9572555841053685
ACH-000957,LS-180,Large Intestine,MSI,KY,SC-000957.KY01,-3.8873607610553833
ACH-000958,SW48,Large Intestine,MSI,KY,SC-000958.KY01,-4.970900775593246
ACH-000969,KM12,Large Intestine,MSI,KY,SC-000969.KY01,-3.769658491787371
ACH-000970,SNU-C5,Large Intestine,MSI,KY,SC-000970.KY01,-4.332353576944905
ACH-000971,HCT-116,Large Intestine,MSI,KY,SC-000971.KY01,-4.237887250334089
ACH-000985,LS-411N,Large Intestine,MSI,KY,SC-000985.KY01,-5.488374445652458
ACH-000997,HCT-15,Large Intestine,MSI,KY,SC-000997.KY01,-0.048816019697977026
ACH-001345,GP5d,Large Intestine,MSI,KY,SC-001345.KY01,-2.855442752147301
