model_id,model_name,tissue,label,avana_screen_id,ky_screen_id,wrn_percentile_gap,exp005_gap_flag,nnmd_asymmetry,rocauc_asymmetry,fpr_asymmetry,essential_depletion_asymmetry,nonessential_depletion_asymmetry,qc_rank_asymmetry_composite
ACH-000007,LS-513,Large Intestine,MSS,SC-000007.AV01,SC-000007.KY01,0.17097701149425282,False,0.051724137931034475,0.1135057471264368,0.13433908045977005,0.07758620689655171,0.23132183908045983,0.12169540229885056
ACH-000009,C2BBe1,Large Intestine,MSS,SC-000009.AV01,SC-000009.KY01,0.2327586206896552,False,0.1293103448275862,0.002873563218390718,0.27442528735632177,0.04597701149425282,0.30890804597701144,0.15229885057471257
ACH-000252,LS1034,Large Intestine,MSS,SC-000252.AV01,SC-000252.KY01,0.04597701149425287,False,0.012931034482758619,0.10488505747126438,0.27873563218390807,0.3232758620689655,0.896551724137931,0.3232758620689655
ACH-000350,COLO-678,Large Intestine,MSS,SC-000350.AV01,SC-000350.KY01,0.3448275862068966,True,0.25,0.16666666666666666,0.0,0.7916666666666666,0.1752873563218391,0.27672413793103445
ACH-000381,T84,Large Intestine,MSS,SC-000381.AV01,SC-000381.KY01,0.4525862068965517,True,0.514367816091954,0.639367816091954,0.47701149425287354,0.7370689655172413,0.09626436781609196,0.492816091954023
ACH-000421,SW837,Large Intestine,MSS,SC-000421.AV01,SC-000421.KY01,0.18821839080459773,False,0.2614942528735632,0.27442528735632177,0.09985632183908044,0.3635057471264368,0.6738505747126438,0.3346264367816092
ACH-000532,SNU-61,Large Intestine,MSS,SC-000532.AV01,SC-000532.KY01,0.08620689655172414,False,0.24712643678160928,0.4195402298850575,0.2852011494252873,0.2025862068965517,0.07327586206896552,0.24554597701149422
ACH-000552,HT-29,Large Intestine,MSS,SC-000552.AV01,SC-000552.KY01,0.10201149425287356,False,0.09051724137931039,0.04885057471264376,0.0941091954022989,0.1896551724137931,0.18821839080459768,0.12227011494252875
ACH-000651,SW620,Large Intestine,MSS,SC-000651.AV01,SC-000651.KY01,0.09626436781609196,False,0.01867816091954022,0.3017241379310345,0.346264367816092,0.30316091954022995,0.2801724137931034,0.25
ACH-000926,HT55,Large Intestine,MSS,SC-000926.AV01,SC-000926.KY01,0.13218390804597702,False,0.10632183908045978,0.14942528735632188,0.1910919540229885,0.1350574712643678,0.04597701149425287,0.12557471264367814
ACH-000935,MDST8,Large Intestine,MSS,SC-000935.AV01,SC-000935.KY01,0.07183908045977005,False,0.35488505747126436,0.3620689655172414,0.08548850574712641,0.05890804597701155,0.5919540229885057,0.29066091954022993
ACH-000943,RKO,Large Intestine,MSI,SC-000943.AV01,SC-000943.KY01,0.10344827586206895,False,0.04166666666666663,0.0,0.0625,0.16666666666666663,0.4956896551724138,0.1533045977011494
ACH-000950,LoVo,Large Intestine,MSI,SC-000950.AV01,SC-000950.KY01,0.2227011494252873,False,0.2054597701149425,0.43965517241379315,0.5158045977011494,0.5919540229885057,0.04022988505747127,0.3586206896551724
ACH-000957,LS-180,Large Intestine,MSI,SC-000957.AV01,SC-000957.KY01,0.0818965517241379,False,0.34913793103448276,0.43821839080459773,0.43965517241379315,0.382183908045977,0.5301724137931034,0.4278735632183908
ACH-000958,SW48,Large Intestine,MSI,SC-000958.AV01,SC-000958.KY01,0.007183908045977017,False,0.5704022988505746,0.44540229885057464,0.23706896551724133,0.5287356321839081,0.5431034482758621,0.4649425287356321
ACH-000969,KM12,Large Intestine,MSI,SC-000969.AV01,SC-000969.KY01,0.15804597701149425,False,0.024425287356321768,0.11494252873563215,0.49137931034482757,0.08477011494252876,0.05747126436781613,0.15459770114942525
ACH-001345,GP5d,Large Intestine,MSI,SC-001345.AV01,SC-001345.KY01,0.025862068965517238,False,0.764367816091954,0.6336206896551724,0.30028735632183906,0.5445402298850575,0.27298850574712646,0.5031609195402299
ACH-000048,TOV-112D,Ovary,MSS,SC-000048.AV01,SC-000048.KY01,0.5238095238095238,True,0.37714285714285717,0.2438095238095238,0.14095238095238094,0.37714285714285717,0.6419047619047619,0.35619047619047617
ACH-000132,JHOS-2,Ovary,MSS,SC-000132.AV01,SC-000132.KY01,0.38857142857142857,True,0.28380952380952384,0.5219047619047619,0.5390476190476191,0.16000000000000003,0.5371428571428571,0.4083809523809524
ACH-000291,OV-90,Ovary,MSS,SC-000291.AV01,SC-000291.KY01,0.17904761904761907,False,0.19619047619047614,0.3314285714285714,0.1038095238095238,0.1390476190476191,0.2723809523809523,0.20857142857142855
ACH-000308,EFO-21,Ovary,MSS,SC-000308.AV01,SC-000308.KY01,0.16,False,0.6266666666666666,0.2857142857142857,0.09523809523809523,0.5314285714285714,0.6742857142857143,0.4426666666666666
ACH-000524,KURAMOCHI,Ovary,MSS,SC-000524.AV01,SC-000524.KY01,0.22666666666666674,False,0.23428571428571432,0.051428571428571435,0.1133333333333334,0.08571428571428569,0.17142857142857143,0.13123809523809524
