model_id,tissue
ACH-000007,Large Intestine
ACH-000009,Large Intestine
ACH-000252,Large Intestine
ACH-000350,Large Intestine
ACH-000381,Large Intestine
ACH-000421,Large Intestine
ACH-000532,Large Intestine
ACH-000552,Large Intestine
ACH-000651,Large Intestine
ACH-000926,Large Intestine
ACH-000935,Large Intestine
ACH-000943,Large Intestine
ACH-000950,Large Intestine
ACH-000957,Large Intestine
ACH-000958,Large Intestine
ACH-000969,Large Intestine
ACH-001345,Large Intestine
ACH-000048,Ovary
ACH-000132,Ovary
ACH-000291,Ovary
ACH-000308,Ovary
ACH-000524,Ovary
ACH-000527,Ovary
ACH-000584,Ovary
ACH-000657,Ovary
ACH-000696,Ovary
ACH-000719,Ovary
ACH-000885,Ovary
ACH-000906,Ovary
ACH-000936,Ovary
ACH-000947,Ovary
ACH-001151,Ovary
ACH-001418,Ovary
ACH-001630,Ovary
