model_id,tissue,common_essential_exposure,nonessential_exposure,wrn_percentile_gap,exp005_gap_flag
ACH-000007,Large Intestine,0.20545977011494254,0.2938218390804598,0.17097701149425282,False
ACH-000009,Large Intestine,0.21264367816091956,0.27155172413793105,0.2327586206896552,False
ACH-000252,Large Intestine,0.38505747126436785,0.3017241379310345,0.04597701149425287,False
ACH-000350,Large Intestine,0.632183908045977,0.23204022988505743,0.3448275862068966,True
ACH-000381,Large Intestine,0.43103448275862066,0.3692528735632184,0.4525862068965517,True
ACH-000421,Large Intestine,0.2528735632183908,0.23778735632183906,0.18821839080459773,False
ACH-000532,Large Intestine,0.1954022988505747,0.2327586206896552,0.08620689655172414,False
ACH-000552,Large Intestine,0.18965517241379315,0.23132183908045972,0.10201149425287356,False
ACH-000651,Large Intestine,0.27873563218390807,0.2341954022988506,0.09626436781609196,False
ACH-000926,Large Intestine,0.21264367816091956,0.2737068965517242,0.13218390804597702,False
ACH-000935,Large Intestine,0.25,0.33548850574712646,0.07183908045977005,False
ACH-000943,Large Intestine,0.15804597701149425,0.21192528735632182,0.10344827586206895,False
ACH-000950,Large Intestine,0.410919540229885,0.30100574712643674,0.2227011494252873,False
ACH-000957,Large Intestine,0.2327586206896552,0.300287356321839,0.0818965517241379,False
ACH-000958,Large Intestine,0.2600574712643678,0.2772988505747126,0.007183908045977017,False
ACH-000969,Large Intestine,0.175287356321839,0.2514367816091954,0.15804597701149425,False
ACH-001345,Large Intestine,0.46839080459770116,0.2535919540229885,0.025862068965517238,False
ACH-000048,Ovary,0.3619047619047619,0.2704761904761905,0.5238095238095238,True
ACH-000132,Ovary,0.20952380952380956,0.2752380952380952,0.38857142857142857,True
ACH-000291,Ovary,0.22857142857142854,0.27428571428571435,0.17904761904761907,False
ACH-000308,Ovary,0.6266666666666666,0.23428571428571432,0.16,False
ACH-000524,Ovary,0.1390476190476191,0.23619047619047617,0.22666666666666674,False
ACH-000527,Ovary,0.15047619047619043,0.23714285714285713,0.4895238095238096,True
ACH-000584,Ovary,0.19238095238095232,0.30095238095238097,0.08952380952380956,False
ACH-000657,Ovary,0.24571428571428566,0.4066666666666667,0.7447619047619047,True
ACH-000696,Ovary,0.2914285714285714,0.20476190476190478,0.40190476190476193,True
ACH-000719,Ovary,0.1390476190476191,0.23238095238095238,0.24190476190476184,False
ACH-000885,Ovary,0.16952380952380952,0.2885714285714286,0.007619047619047636,False
ACH-000906,Ovary,0.15809523809523818,0.2590476190476191,0.23428571428571432,False
ACH-000936,Ovary,0.1733333333333333,0.2876190476190476,0.2571428571428571,True
ACH-000947,Ovary,0.16380952380952385,0.28285714285714286,0.12,False
ACH-001151,Ovary,0.15428571428571425,0.25142857142857145,0.28380952380952384,True
ACH-001418,Ovary,0.48190476190476184,0.26285714285714284,0.3466666666666666,True
ACH-001630,Ovary,0.2209523809523809,0.26,0.10476190476190472,False
