model_id,model_name,tissue,label,avana_n_included,ky_n_included,avana_included_percentile,ky_included_percentile,included_asymmetry,avana_n_passing,ky_n_passing,avana_passing_percentile,ky_passing_percentile,passing_asymmetry,wrn_percentile_gap,exp005_gap_flag
ACH-000007,LS-513,Large Intestine,MSS,2,3,0.22916666666666666,0.4827586206896552,0.2535919540229885,2,3,0.25,0.4827586206896552,0.2327586206896552,0.17097701149425282,False
ACH-000009,C2BBe1,Large Intestine,MSS,3,3,0.7083333333333334,0.4827586206896552,0.22557471264367818,3,3,0.7083333333333334,0.4827586206896552,0.22557471264367818,0.2327586206896552,False
ACH-000252,LS1034,Large Intestine,MSS,2,3,0.22916666666666666,0.4827586206896552,0.2535919540229885,2,3,0.25,0.4827586206896552,0.2327586206896552,0.04597701149425287,False
ACH-000350,COLO-678,Large Intestine,MSS,3,3,0.7083333333333334,0.4827586206896552,0.22557471264367818,3,3,0.7083333333333334,0.4827586206896552,0.22557471264367818,0.3448275862068966,True
ACH-000381,T84,Large Intestine,MSS,3,2,0.7083333333333334,0.034482758620689655,0.6738505747126438,3,2,0.7083333333333334,0.034482758620689655,0.6738505747126438,0.4525862068965517,True
ACH-000421,SW837,Large Intestine,MSS,3,3,0.7083333333333334,0.4827586206896552,0.22557471264367818,3,3,0.7083333333333334,0.4827586206896552,0.22557471264367818,0.18821839080459773,False
ACH-000532,SNU-61,Large Intestine,MSS,2,3,0.22916666666666666,0.4827586206896552,0.2535919540229885,2,3,0.25,0.4827586206896552,0.2327586206896552,0.08620689655172414,False
ACH-000552,HT-29,Large Intestine,MSS,2,6,0.22916666666666666,0.9827586206896551,0.7535919540229885,2,6,0.25,0.9827586206896551,0.7327586206896551,0.10201149425287356,False
ACH-000651,SW620,Large Intestine,MSS,3,4,0.7083333333333334,0.9310344827586207,0.2227011494252873,3,4,0.7083333333333334,0.9310344827586207,0.2227011494252873,0.09626436781609196,False
ACH-000926,HT55,Large Intestine,MSS,3,3,0.7083333333333334,0.4827586206896552,0.22557471264367818,3,3,0.7083333333333334,0.4827586206896552,0.22557471264367818,0.13218390804597702,False
ACH-000935,MDST8,Large Intestine,MSS,3,1,0.7083333333333334,0.0,0.7083333333333334,3,1,0.7083333333333334,0.0,0.7083333333333334,0.07183908045977005,False
ACH-000943,RKO,Large Intestine,MSI,3,3,0.7083333333333334,0.4827586206896552,0.22557471264367818,3,3,0.7083333333333334,0.4827586206896552,0.22557471264367818,0.10344827586206895,False
ACH-000950,LoVo,Large Intestine,MSI,3,3,0.7083333333333334,0.4827586206896552,0.22557471264367818,3,3,0.7083333333333334,0.4827586206896552,0.22557471264367818,0.2227011494252873,False
ACH-000957,LS-180,Large Intestine,MSI,2,3,0.22916666666666666,0.4827586206896552,0.2535919540229885,2,3,0.25,0.4827586206896552,0.2327586206896552,0.0818965517241379,False
ACH-000958,SW48,Large Intestine,MSI,2,3,0.22916666666666666,0.4827586206896552,0.2535919540229885,2,3,0.25,0.4827586206896552,0.2327586206896552,0.007183908045977017,False
ACH-000969,KM12,Large Intestine,MSI,3,3,0.7083333333333334,0.4827586206896552,0.22557471264367818,3,3,0.7083333333333334,0.4827586206896552,0.22557471264367818,0.15804597701149425,False
ACH-001345,GP5d,Large Intestine,MSI,2,3,0.22916666666666666,0.4827586206896552,0.2535919540229885,2,3,0.25,0.4827586206896552,0.2327586206896552,0.025862068965517238,False
ACH-000048,TOV-112D,Ovary,MSS,2,3,0.2619047619047619,0.58,0.31809523809523804,2,3,0.2857142857142857,0.6,0.3142857142857143,0.5238095238095238,True
ACH-000132,JHOS-2,Ovary,MSS,1,3,0.0,0.58,0.58,1,3,0.0,0.6,0.6,0.38857142857142857,True
ACH-000291,OV-90,Ovary,MSS,2,3,0.2619047619047619,0.58,0.31809523809523804,2,3,0.2857142857142857,0.6,0.3142857142857143,0.17904761904761907,False
ACH-000308,EFO-21,Ovary,MSS,3,3,0.7619047619047619,0.58,0.1819047619047619,3,3,0.7857142857142857,0.6,0.18571428571428572,0.16,False
ACH-000524,KURAMOCHI,Ovary,MSS,3,3,0.7619047619047619,0.58,0.1819047619047619,3,3,0.7857142857142857,0.6,0.18571428571428572,0.22666666666666674,False
ACH-000527,OVISE,Ovary,MSS,3,2,0.7619047619047619,0.06,0.7019047619047618,3,2,0.7857142857142857,0.08,0.7057142857142857,0.4895238095238096,True
ACH-000584,JHOS-4,Ovary,MSS,3,3,0.7619047619047619,0.58,0.1819047619047619,3,3,0.7857142857142857,0.6,0.18571428571428572,0.08952380952380956,False
ACH-000657,A2780,Ovary,MSI,2,2,0.2619047619047619,0.06,0.20190476190476192,2,2,0.2857142857142857,0.08,0.20571428571428568,0.7447619047619047,True
ACH-000696,OVCAR-8,Ovary,MSS,3,3,0.7619047619047619,0.58,0.1819047619047619,3,3,0.7857142857142857,0.6,0.18571428571428572,0.40190476190476193,True
ACH-000719,RMG-I,Ovary,MSS,2,3,0.2619047619047619,0.58,0.31809523809523804,2,2,0.2857142857142857,0.08,0.20571428571428568,0.24190476190476184,False
ACH-000885,TOV-21G,Ovary,MSI,3,3,0.7619047619047619,0.58,0.1819047619047619,3,3,0.7857142857142857,0.6,0.18571428571428572,0.007619047619047636,False
ACH-000906,ES-2,Ovary,MSS,3,3,0.7619047619047619,0.58,0.1819047619047619,3,3,0.7857142857142857,0.6,0.18571428571428572,0.23428571428571432,False
ACH-000936,EFO-27,Ovary,MSI,2,3,0.2619047619047619,0.58,0.31809523809523804,2,3,0.2857142857142857,0.6,0.3142857142857143,0.2571428571428571,True
ACH-000947,OVK-18,Ovary,MSI,3,3,0.7619047619047619,0.58,0.1819047619047619,3,3,0.7857142857142857,0.6,0.18571428571428572,0.12,False
ACH-001151,OVCAR-5,Ovary,MSS,2,3,0.2619047619047619,0.58,0.31809523809523804,2,3,0.2857142857142857,0.6,0.3142857142857143,0.28380952380952384,True
ACH-001418,UWB1.289,Ovary,MSS,2,3,0.2619047619047619,0.58,0.31809523809523804,2,3,0.2857142857142857,0.6,0.3142857142857143,0.3466666666666666,True
ACH-001630,PEO1,Ovary,MSS,2,3,0.2619047619047619,0.58,0.31809523809523804,2,3,0.2857142857142857,0.6,0.3142857142857143,0.10476190476190472,False
