screen_id,model_id,source,tissue,n_passing_sequences,n_included_sequences,retained_sequence_count,reconstructed_score,official_score,absolute_discrepancy,passes_absolute_1e_8_gate
SC-000007.AV01,ACH-000007,Avana,Large Intestine,2,2,2,-0.6421656176212722,-0.6421656176212722,0.0,True
SC-000009.AV01,ACH-000009,Avana,Large Intestine,3,3,3,0.07304530526573233,0.07304530526573233,0.0,True
SC-000252.AV01,ACH-000252,Avana,Large Intestine,2,2,2,0.06601352603549558,0.06601352603549558,0.0,True
SC-000350.AV01,ACH-000350,Avana,Large Intestine,3,3,3,0.43993939056761333,0.43993939056761333,0.0,True
SC-000381.AV01,ACH-000381,Avana,Large Intestine,3,3,3,-0.27239947181470403,-0.27239947181470403,0.0,True
SC-000403.AV01,ACH-000403,Avana,Large Intestine,3,3,3,0.2619039398966553,0.2619039398966553,0.0,True
SC-000421.AV01,ACH-000421,Avana,Large Intestine,3,3,3,0.06668404551840938,0.06668404551840938,0.0,True
SC-000470.AV01,ACH-000470,Avana,Large Intestine,3,3,3,-0.0765650661831657,-0.0765650661831657,0.0,True
SC-000489.AV01,ACH-000489,Avana,Large Intestine,1,1,1,-0.005982061667046963,-0.005982061667046963,0.0,True
SC-000491.AV01,ACH-000491,Avana,Large Intestine,3,3,3,0.40305635886978997,0.40305635886978997,0.0,True
SC-000532.AV01,ACH-000532,Avana,Large Intestine,2,2,2,-0.04130006968676181,-0.04130006968676181,0.0,True
SC-000552.AV01,ACH-000552,Avana,Large Intestine,2,2,2,0.10474818256211288,0.10474818256211288,0.0,True
SC-000651.AV01,ACH-000651,Avana,Large Intestine,3,3,3,0.42986823170979704,0.4298682317097971,5.551115123125783e-17,True
SC-000680.AV01,ACH-000680,Avana,Large Intestine,1,2,1,-1.1976491218457133,-1.1976491218457133,0.0,True
SC-000820.AV01,ACH-000820,Avana,Large Intestine,1,1,1,-0.04090926822561064,-0.04090926822561064,0.0,True
SC-000926.AV01,ACH-000926,Avana,Large Intestine,3,3,3,0.2189647667240594,0.2189647667240594,0.0,True
SC-000935.AV01,ACH-000935,Avana,Large Intestine,3,3,3,-0.2623008679189142,-0.2623008679189142,0.0,True
SC-000943.AV01,ACH-000943,Avana,Large Intestine,3,3,3,-1.6967284990987768,-1.6967284990987768,0.0,True
SC-000950.AV01,ACH-000950,Avana,Large Intestine,3,3,3,-0.4040344469978535,-0.4040344469978535,0.0,True
SC-000957.AV01,ACH-000957,Avana,Large Intestine,2,2,2,-1.356226651518841,-1.356226651518841,0.0,True
SC-000958.AV01,ACH-000958,Avana,Large Intestine,2,2,2,-1.6093553798765572,-1.6093553798765572,0.0,True
SC-000963.AV01,ACH-000963,Avana,Large Intestine,3,3,3,-0.3398967504146375,-0.3398967504146375,0.0,True
SC-000969.AV01,ACH-000969,Avana,Large Intestine,3,3,3,-1.4068743278556162,-1.4068743278556162,0.0,True
SC-000986.AV01,ACH-000986,Avana,Large Intestine,3,3,3,-0.007839603978575842,-0.007839603978575842,0.0,True
SC-001345.AV01,ACH-001345,Avana,Large Intestine,2,2,2,-0.4440227862464678,-0.4440227862464678,0.0,True
SC-000048.AV01,ACH-000048,Avana,Ovary,2,2,2,-0.1426498610128116,-0.1426498610128116,0.0,True
SC-000132.AV01,ACH-000132,Avana,Ovary,1,1,1,-0.08756720374314053,-0.08756720374314053,0.0,True
SC-000291.AV01,ACH-000291,Avana,Ovary,2,2,2,-0.22042384473470514,-0.22042384473470514,0.0,True
SC-000308.AV01,ACH-000308,Avana,Ovary,3,3,3,0.22479574836096428,0.22479574836096428,0.0,True
SC-000524.AV01,ACH-000524,Avana,Ovary,3,3,3,-0.005138403624565982,-0.005138403624565982,0.0,True
SC-000527.AV01,ACH-000527,Avana,Ovary,3,3,3,0.08843478884281343,0.08843478884281343,0.0,True
SC-000584.AV01,ACH-000584,Avana,Ovary,3,3,3,-0.44612247036835306,-0.44612247036835306,0.0,True
SC-000657.AV01,ACH-000657,Avana,Ovary,2,2,2,0.14203843338548522,0.14203843338548522,0.0,True
SC-000663.AV01,ACH-000663,Avana,Ovary,2,3,2,0.07163218792954681,0.07163218792954681,0.0,True
SC-000688.AV01,ACH-000688,Avana,Ovary,2,2,2,0.107236334762284,0.107236334762284,0.0,True
SC-000696.AV01,ACH-000696,Avana,Ovary,3,3,3,0.08677214050886134,0.08677214050886134,0.0,True
SC-000713.AV01,ACH-000713,Avana,Ovary,3,3,3,0.1958886671551705,0.1958886671551705,0.0,True
SC-000719.AV02,ACH-000719,Avana,Ovary,2,2,2,-0.2911641106371238,-0.2911641106371238,0.0,True
SC-000811.AV01,ACH-000811,Avana,Ovary,3,3,3,-0.1929835167114667,-0.1929835167114667,0.0,True
SC-000885.AV01,ACH-000885,Avana,Ovary,3,3,3,-2.0638994484851096,-2.0638994484851096,0.0,True
SC-000906.AV01,ACH-000906,Avana,Ovary,3,3,3,-0.23440223387073153,-0.23440223387073156,2.7755575615628914e-17,True
SC-000936.AV01,ACH-000936,Avana,Ovary,2,2,2,-0.7315745596680778,-0.7315745596680778,0.0,True
SC-000947.AV01,ACH-000947,Avana,Ovary,3,3,3,-2.5287149025994218,-2.5287149025994218,0.0,True
SC-001151.AV01,ACH-001151,Avana,Ovary,2,2,2,-0.11638762099616744,-0.11638762099616744,0.0,True
SC-001374.AV01,ACH-001374,Avana,Ovary,2,2,2,-0.037691872411006265,-0.037691872411006265,0.0,True
SC-001418.AV01,ACH-001418,Avana,Ovary,2,2,2,-0.22307934493143972,-0.22307934493143972,0.0,True
SC-001630.AV01,ACH-001630,Avana,Ovary,2,2,2,-0.7773113274678836,-0.7773113274678836,0.0,True
SC-000007.KY01,ACH-000007,KY,Large Intestine,3,3,3,-0.43936233178138906,-0.43936233178138906,0.0,True
SC-000009.KY01,ACH-000009,KY,Large Intestine,3,3,3,-0.09671894775885788,-0.09671894775885788,0.0,True
