model_id,model_name,tissue,label,baseline_gap,baseline_flagged,avana_all_omissions_retain_flag,ky_all_omissions_retain_flag,fully_robust_all_nine,flagged_omissions_of_nine,min_gap_all_ten_configurations,median_gap_all_ten_configurations,max_gap_all_ten_configurations
ACH-000007,LS-513,Large Intestine,MSS,0.17097701149425282,False,False,False,False,0,0.1364942528735632,0.17097701149425282,0.23994252873563215
ACH-000009,C2BBe1,Large Intestine,MSS,0.2327586206896552,False,False,False,False,0,0.025862068965517238,0.14942528735632188,0.2327586206896552
ACH-000252,LS1034,Large Intestine,MSS,0.04597701149425287,False,False,False,False,3,0.01149425287356326,0.08405172413793102,0.2873563218390805
ACH-000350,COLO-678,Large Intestine,MSS,0.3448275862068966,True,True,True,True,9,0.26149425287356326,0.3275862068965517,0.3448275862068966
ACH-000381,T84,Large Intestine,MSS,0.4525862068965517,True,True,False,False,8,0.2456896551724138,0.49425287356321834,0.625
ACH-000421,SW837,Large Intestine,MSS,0.18821839080459773,False,False,False,False,3,0.1192528735632184,0.20545977011494254,0.27155172413793105
ACH-000532,SNU-61,Large Intestine,MSS,0.08620689655172414,False,False,False,False,0,0.017241379310344807,0.12428160919540229,0.2054597701149425
ACH-000552,HT-29,Large Intestine,MSS,0.10201149425287356,False,False,False,False,0,0.01867816091954022,0.08477011494252873,0.17097701149425285
ACH-000651,SW620,Large Intestine,MSS,0.09626436781609196,False,False,False,False,0,0.012931034482758619,0.1135057471264368,0.23419540229885058
ACH-000926,HT55,Large Intestine,MSS,0.13218390804597702,False,False,False,False,0,0.048850574712643674,0.13218390804597702,0.16666666666666666
ACH-000935,MDST8,Large Intestine,MSS,0.07183908045977005,False,False,False,False,0,0.011494252873563204,0.07183908045977005,0.15517241379310343
ACH-000943,RKO,Large Intestine,MSI,0.10344827586206895,False,False,False,False,0,0.0,0.06178160919540232,0.13793103448275867
ACH-000950,LoVo,Large Intestine,MSI,0.2227011494252873,False,False,False,False,4,0.09770114942528729,0.2227011494252873,0.38936781609195403
ACH-000957,LS-180,Large Intestine,MSI,0.0818965517241379,False,False,False,False,0,0.04022988505747127,0.0818965517241379,0.15086206896551724
ACH-000958,SW48,Large Intestine,MSI,0.007183908045977017,False,False,False,False,0,0.007183908045977017,0.027298850574712707,0.06178160919540232
ACH-000969,KM12,Large Intestine,MSI,0.15804597701149425,False,False,False,False,0,0.08908045977011492,0.11997126436781608,0.15804597701149425
ACH-001345,GP5d,Large Intestine,MSI,0.025862068965517238,False,False,False,False,0,0.025862068965517238,0.025862068965517238,0.0431034482758621
ACH-000048,TOV-112D,Ovary,MSS,0.5238095238095238,True,True,True,True,9,0.3333333333333333,0.5238095238095238,0.7619047619047619
ACH-000132,JHOS-2,Ovary,MSS,0.38857142857142857,True,False,True,False,7,0.05523809523809523,0.38857142857142857,0.6742857142857143
ACH-000291,OV-90,Ovary,MSS,0.17904761904761907,False,False,False,False,3,0.011428571428571455,0.15904761904761908,0.36952380952380953
ACH-000308,EFO-21,Ovary,MSS,0.16,False,False,False,False,1,0.12,0.16,0.26857142857142857
ACH-000524,KURAMOCHI,Ovary,MSS,0.22666666666666674,False,False,False,False,3,0.08380952380952389,0.22666666666666674,0.4266666666666667
ACH-000527,OVISE,Ovary,MSS,0.4895238095238096,True,True,True,True,9,0.39428571428571435,0.4895238095238096,0.6323809523809525
ACH-000584,JHOS-4,Ovary,MSS,0.08952380952380956,False,False,False,False,1,0.08952380952380956,0.12952380952380949,0.2914285714285714
ACH-000657,A2780,Ovary,MSI,0.7447619047619047,True,True,True,True,9,0.4247619047619048,0.7447619047619047,0.7923809523809524
ACH-000696,OVCAR-8,Ovary,MSS,0.40190476190476193,True,True,True,True,9,0.3542857142857143,0.40190476190476193,0.5619047619047619
ACH-000719,RMG-I,Ovary,MSS,0.24190476190476184,False,False,False,False,5,0.19428571428571428,0.2657142857142857,0.48190476190476184
ACH-000885,TOV-21G,Ovary,MSI,0.007619047619047636,False,False,False,False,0,0.007619047619047636,0.007619047619047636,0.03238095238095229
ACH-000906,ES-2,Ovary,MSS,0.23428571428571432,False,False,False,False,2,0.043809523809523854,0.2142857142857143,0.2819047619047619
ACH-000936,EFO-27,Ovary,MSI,0.2571428571428571,True,False,False,False,3,0.09714285714285709,0.21333333333333332,0.2571428571428571
ACH-000947,OVK-18,Ovary,MSI,0.12,False,False,False,False,0,0.07999999999999996,0.12,0.12
ACH-001151,OVCAR-5,Ovary,MSS,0.28380952380952384,True,False,False,False,3,0.16380952380952385,0.24,0.3790476190476191
ACH-001418,UWB1.289,Ovary,MSS,0.3466666666666666,True,False,False,False,6,0.15619047619047616,0.2828571428571428,0.3942857142857143
ACH-001630,PEO1,Ovary,MSS,0.10476190476190472,False,False,False,False,1,0.05714285714285705,0.10476190476190472,0.3047619047619048
