model_id,model_name,tissue,label,efficacy_exposure,growth_exposure,wrn_percentile_gap,wrn_gap_flagged,avana_efficacy_percentile,ky_efficacy_percentile,avana_growth_percentile,ky_growth_percentile
ACH-000007,LS-513,Large Intestine,MSS,0.10057471264367818,0.10632183908045978,0.17097701149425282,False,0.5833333333333334,0.4827586206896552,0.5833333333333334,0.6896551724137931
ACH-000009,C2BBe1,Large Intestine,MSS,0.06321839080459768,0.3089080459770115,0.2327586206896552,False,0.8333333333333334,0.896551724137931,0.20833333333333334,0.5172413793103449
ACH-000252,LS1034,Large Intestine,MSS,0.8477011494252873,0.14655172413793105,0.04597701149425287,False,0.08333333333333333,0.9310344827586207,0.25,0.10344827586206896
ACH-000350,COLO-678,Large Intestine,MSS,0.875,0.6738505747126438,0.3448275862068966,True,0.875,0.0,0.7083333333333334,0.034482758620689655
ACH-000381,T84,Large Intestine,MSS,0.6738505747126438,0.375,0.4525862068965517,True,0.7083333333333334,0.034482758620689655,0.375,0.0
ACH-000421,SW837,Large Intestine,MSS,0.36925287356321834,0.3908045977011494,0.18821839080459773,False,0.5416666666666666,0.1724137931034483,0.6666666666666666,0.27586206896551724
ACH-000532,SNU-61,Large Intestine,MSS,0.2931034482758621,0.09770114942528735,0.08620689655172414,False,0.5,0.20689655172413793,0.16666666666666666,0.06896551724137931
ACH-000552,HT-29,Large Intestine,MSS,0.07327586206896552,0.051724137931034475,0.10201149425287356,False,0.375,0.4482758620689655,0.5,0.4482758620689655
ACH-000651,SW620,Large Intestine,MSS,0.22701149425287348,0.054597701149425304,0.09626436781609196,False,0.9166666666666666,0.6896551724137931,0.9166666666666666,0.8620689655172413
ACH-000926,HT55,Large Intestine,MSS,0.08045977011494254,0.21982758620689657,0.13218390804597702,False,0.6666666666666666,0.5862068965517241,0.125,0.3448275862068966
ACH-000935,MDST8,Large Intestine,MSS,0.05747126436781608,0.4181034482758621,0.07183908045977005,False,0.3333333333333333,0.27586206896551724,0.625,0.20689655172413793
ACH-000943,RKO,Large Intestine,MSI,0.11206896551724133,0.632183908045977,0.10344827586206895,False,0.75,0.8620689655172413,0.3333333333333333,0.9655172413793104
ACH-000950,LoVo,Large Intestine,MSI,0.14367816091954025,0.6408045977011494,0.2227011494252873,False,0.16666666666666666,0.3103448275862069,0.08333333333333333,0.7241379310344828
ACH-000957,LS-180,Large Intestine,MSI,0.30028735632183906,0.125,0.0818965517241379,False,0.4583333333333333,0.7586206896551724,0.875,1.0
ACH-000958,SW48,Large Intestine,MSI,0.3764367816091954,0.639367816091954,0.007183908045977017,False,0.4166666666666667,0.7931034482758621,0.2916666666666667,0.9310344827586207
ACH-000969,KM12,Large Intestine,MSI,0.11206896551724138,0.04454022988505746,0.15804597701149425,False,0.25,0.13793103448275862,0.5416666666666666,0.5862068965517241
ACH-001345,GP5d,Large Intestine,MSI,0.5790229885057472,0.7586206896551724,0.025862068965517238,False,0.041666666666666664,0.6206896551724138,0.0,0.7586206896551724
ACH-000048,TOV-112D,Ovary,MSS,0.3047619047619048,0.4190476190476191,0.5238095238095238,True,0.09523809523809523,0.4,0.38095238095238093,0.8
ACH-000132,JHOS-2,Ovary,MSS,0.3923809523809523,0.0780952380952381,0.38857142857142857,True,0.9523809523809523,0.56,0.7619047619047619,0.84
ACH-000291,OV-90,Ovary,MSS,0.06095238095238098,0.10666666666666658,0.17904761904761907,False,0.6190476190476191,0.68,0.6666666666666666,0.56
ACH-000308,EFO-21,Ovary,MSS,0.7771428571428571,0.7142857142857143,0.16,False,0.8571428571428571,0.08,0.7142857142857143,0.0
ACH-000524,KURAMOCHI,Ovary,MSS,0.22095238095238093,0.030476190476190462,0.22666666666666674,False,0.38095238095238093,0.16,0.19047619047619047,0.16
ACH-000527,OVISE,Ovary,MSS,0.20380952380952383,0.4742857142857143,0.4895238095238096,True,0.5238095238095238,0.32,0.2857142857142857,0.76
ACH-000584,JHOS-4,Ovary,MSS,0.07999999999999996,0.020952380952380945,0.08952380952380956,False,1.0,0.92,0.6190476190476191,0.64
ACH-000657,A2780,Ovary,MSI,0.38857142857142857,0.5523809523809523,0.7447619047619047,True,0.5714285714285714,0.96,0.9523809523809523,0.4
ACH-000696,OVCAR-8,Ovary,MSS,0.6095238095238096,0.3619047619047619,0.40190476190476193,True,0.19047619047619047,0.8,0.23809523809523808,0.6
ACH-000719,RMG-I,Ovary,MSS,0.22857142857142854,0.10285714285714284,0.24190476190476184,False,0.42857142857142855,0.2,0.14285714285714285,0.04
ACH-000885,TOV-21G,Ovary,MSI,0.026666666666666616,0.4838095238095238,0.007619047619047636,False,0.6666666666666666,0.64,0.47619047619047616,0.96
ACH-000906,ES-2,Ovary,MSS,0.12571428571428567,0.1561904761904762,0.23428571428571432,False,0.7142857142857143,0.84,0.5238095238095238,0.68
ACH-000936,EFO-27,Ovary,MSI,0.05333333333333329,0.06857142857142856,0.2571428571428571,True,0.3333333333333333,0.28,0.42857142857142855,0.36
ACH-000947,OVK-18,Ovary,MSI,0.32190476190476186,0.02285714285714291,0.12,False,0.7619047619047619,0.44,0.8571428571428571,0.88
ACH-001151,OVCAR-5,Ovary,MSS,0.049523809523809526,0.14857142857142858,0.28380952380952384,True,0.8095238095238095,0.76,0.5714285714285714,0.72
ACH-001418,UWB1.289,Ovary,MSS,0.7847619047619048,0.8247619047619048,0.3466666666666666,True,0.9047619047619048,0.12,0.9047619047619048,0.08
ACH-001630,PEO1,Ovary,MSS,0.043809523809523854,0.88,0.10476190476190472,False,0.47619047619047616,0.52,1.0,0.12
