pair_id,source,model_id,lineage,status,target_score
TP53_damaging_to_WEE1,Avana,ACH-000004,Myeloid,damaging,-1.9364411023107642
TP53_damaging_to_WEE1,Avana,ACH-000005,Myeloid,damaging,-1.25641382722687
TP53_damaging_to_WEE1,Avana,ACH-000007,Bowel,matrix_intact,-1.078025727365286
TP53_damaging_to_WEE1,Avana,ACH-000009,Bowel,damaging,-1.6718523412686135
TP53_damaging_to_WEE1,Avana,ACH-000011,Bladder/Urinary Tract,matrix_intact,-3.4235732500125287
TP53_damaging_to_WEE1,Avana,ACH-000012,Lung,matrix_intact,-2.406754019937877
TP53_damaging_to_WEE1,Avana,ACH-000013,Ovary/Fallopian Tube,damaging,-3.547858090671757
TP53_damaging_to_WEE1,Avana,ACH-000015,Lung,damaging,-1.6689480027204922
TP53_damaging_to_WEE1,Avana,ACH-000017,Breast,damaging,-1.0546143748163157
TP53_damaging_to_WEE1,Avana,ACH-000018,Bladder/Urinary Tract,damaging,-0.6437425837587161
TP53_damaging_to_WEE1,Avana,ACH-000019,Breast,matrix_intact,-1.129276372991887
TP53_damaging_to_WEE1,Avana,ACH-000021,Lung,damaging,-1.8999411004507298
TP53_damaging_to_WEE1,Avana,ACH-000022,Pancreas,damaging,-1.4890246255162634
TP53_damaging_to_WEE1,Avana,ACH-000024,Lymphoid,damaging,-3.211093090781704
TP53_damaging_to_WEE1,Avana,ACH-000025,CNS/Brain,matrix_intact,-1.6828192849233234
TP53_damaging_to_WEE1,Avana,ACH-000028,Breast,matrix_intact,-1.6773583330357598
TP53_damaging_to_WEE1,Avana,ACH-000029,Lung,matrix_intact,-2.610817776594085
TP53_damaging_to_WEE1,Avana,ACH-000030,Lung,damaging,-2.6415037318524677
TP53_damaging_to_WEE1,Avana,ACH-000035,Lung,damaging,-1.8587625851201248
TP53_damaging_to_WEE1,Avana,ACH-000036,CNS/Brain,matrix_intact,-2.3853671837341426
TP53_damaging_to_WEE1,Avana,ACH-000037,Soft Tissue,damaging,-2.9260674382754486
TP53_damaging_to_WEE1,Avana,ACH-000039,Bone,matrix_intact,-0.9055280256673279
TP53_damaging_to_WEE1,Avana,ACH-000040,CNS/Brain,damaging,-1.5082874163434563
TP53_damaging_to_WEE1,Avana,ACH-000041,Bone,damaging,-2.0972955026340006
TP53_damaging_to_WEE1,Avana,ACH-000042,Pancreas,damaging,-1.7951903413910062
TP53_damaging_to_WEE1,Avana,ACH-000045,Myeloid,matrix_intact,-1.4542663365470623
TP53_damaging_to_WEE1,Avana,ACH-000047,Esophagus/Stomach,damaging,-2.546861764144192
TP53_damaging_to_WEE1,Avana,ACH-000048,Ovary/Fallopian Tube,damaging,-1.3149144744157746
TP53_damaging_to_WEE1,Avana,ACH-000052,Bone,damaging,-0.6285183644326793
TP53_damaging_to_WEE1,Avana,ACH-000053,Lymphoid,damaging,-1.8587054818665067
