pair_id,source,model_id,lineage,status,target_score
NF1_damaging_to_PTPN11,Avana,ACH-000004,Myeloid,matrix_intact,-0.7634385435813176
NF1_damaging_to_PTPN11,Avana,ACH-000005,Myeloid,matrix_intact,-0.3449757636762518
NF1_damaging_to_PTPN11,Avana,ACH-000007,Bowel,matrix_intact,-1.1933446291129393
NF1_damaging_to_PTPN11,Avana,ACH-000009,Bowel,matrix_intact,-1.3937747195254517
NF1_damaging_to_PTPN11,Avana,ACH-000011,Bladder/Urinary Tract,matrix_intact,-1.4127469189867696
NF1_damaging_to_PTPN11,Avana,ACH-000012,Lung,matrix_intact,-2.051513216938586
NF1_damaging_to_PTPN11,Avana,ACH-000013,Ovary/Fallopian Tube,matrix_intact,0.05960139790947184
NF1_damaging_to_PTPN11,Avana,ACH-000015,Lung,matrix_intact,-0.8550498858245121
NF1_damaging_to_PTPN11,Avana,ACH-000017,Breast,matrix_intact,-0.3423770722197213
NF1_damaging_to_PTPN11,Avana,ACH-000018,Bladder/Urinary Tract,matrix_intact,-0.10471328620705649
NF1_damaging_to_PTPN11,Avana,ACH-000019,Breast,matrix_intact,-0.12058245064246134
NF1_damaging_to_PTPN11,Avana,ACH-000021,Lung,matrix_intact,-0.9656997063984885
NF1_damaging_to_PTPN11,Avana,ACH-000022,Pancreas,matrix_intact,-0.5392904852871148
NF1_damaging_to_PTPN11,Avana,ACH-000024,Lymphoid,matrix_intact,-2.593847234417005
NF1_damaging_to_PTPN11,Avana,ACH-000025,CNS/Brain,matrix_intact,-0.18624112930836215
NF1_damaging_to_PTPN11,Avana,ACH-000028,Breast,matrix_intact,-0.34200275184198364
NF1_damaging_to_PTPN11,Avana,ACH-000029,Lung,matrix_intact,-1.732515875078214
NF1_damaging_to_PTPN11,Avana,ACH-000030,Lung,matrix_intact,-1.267714962712902
NF1_damaging_to_PTPN11,Avana,ACH-000035,Lung,matrix_intact,-1.688943125080773
NF1_damaging_to_PTPN11,Avana,ACH-000036,CNS/Brain,matrix_intact,-1.3768410694480986
NF1_damaging_to_PTPN11,Avana,ACH-000037,Soft Tissue,damaging,-0.8825130961615408
NF1_damaging_to_PTPN11,Avana,ACH-000039,Bone,matrix_intact,-0.38366629991290296
NF1_damaging_to_PTPN11,Avana,ACH-000040,CNS/Brain,matrix_intact,-0.8019499534368968
NF1_damaging_to_PTPN11,Avana,ACH-000041,Bone,matrix_intact,-0.5365360495990861
NF1_damaging_to_PTPN11,Avana,ACH-000042,Pancreas,matrix_intact,-1.453759566431772
NF1_damaging_to_PTPN11,Avana,ACH-000045,Myeloid,matrix_intact,-1.1535450398161164
NF1_damaging_to_PTPN11,Avana,ACH-000047,Esophagus/Stomach,matrix_intact,-1.633030243300544
NF1_damaging_to_PTPN11,Avana,ACH-000048,Ovary/Fallopian Tube,matrix_intact,-0.722648192955524
NF1_damaging_to_PTPN11,Avana,ACH-000052,Bone,matrix_intact,-0.14656989252590555
NF1_damaging_to_PTPN11,Avana,ACH-000053,Lymphoid,matrix_intact,-1.4710549740163772
NF1_damaging_to_PTPN11,Avana,ACH-000054,Soft Tissue,matrix_intact,-0.02264914280670545
NF1_damaging_to_PTPN11,Avana,ACH-000055,CNS/Brain,matrix_intact,-0.8476948067242878
NF1_damaging_to_PTPN11,Avana,ACH-000060,Pancreas,matrix_intact,-1.1888068448823148
NF1_damaging_to_PTPN11,Avana,ACH-000067,CNS/Brain,matrix_intact,-2.202419347287668
NF1_damaging_to_PTPN11,Avana,ACH-000070,Lymphoid,matrix_intact,0.02234605744165999
NF1_damaging_to_PTPN11,Avana,ACH-000074,Myeloid,matrix_intact,-1.6861455077583587
NF1_damaging_to_PTPN11,Avana,ACH-000075,CNS/Brain,damaging,-0.48295445562992345
NF1_damaging_to_PTPN11,Avana,ACH-000076,Myeloid,matrix_intact,-1.6592826933789069
NF1_damaging_to_PTPN11,Avana,ACH-000077,Lymphoid,matrix_intact,-0.2501887113972653
NF1_damaging_to_PTPN11,Avana,ACH-000078,Peripheral Nervous System,matrix_intact,-0.3957411344144829
NF1_damaging_to_PTPN11,Avana,ACH-000082,Bone,matrix_intact,-1.1246373050690393
NF1_damaging_to_PTPN11,Avana,ACH-000085,Pancreas,matrix_intact,0.026496590703613772
NF1_damaging_to_PTPN11,Avana,ACH-000086,Pleura,matrix_intact,-1.2013159692686597
NF1_damaging_to_PTPN11,Avana,ACH-000090,Prostate,matrix_intact,0.0532262631368389
NF1_damaging_to_PTPN11,Avana,ACH-000092,Pleura,matrix_intact,-0.8776411979310561
NF1_damaging_to_PTPN11,Avana,ACH-000093,Pancreas,matrix_intact,-0.6034267959036197
NF1_damaging_to_PTPN11,Avana,ACH-000095,CNS/Brain,matrix_intact,0.1304207277133284
NF1_damaging_to_PTPN11,Avana,ACH-000097,Breast,matrix_intact,-1.123542593224919
NF1_damaging_to_PTPN11,Avana,ACH-000098,CNS/Brain,matrix_intact,-1.88617067860948
NF1_damaging_to_PTPN11,Avana,ACH-000099,Peripheral Nervous System,matrix_intact,-1.862960226828588
