source,model_id,lineage,eligible_screen_ids,EP300_matrix_value,EP300_status
Avana,ACH-000004,Myeloid,SC-000004.AV01,0,matrix_intact
Avana,ACH-000005,Myeloid,SC-000005.AV01,0,matrix_intact
Avana,ACH-000007,Bowel,SC-000007.AV01,0,matrix_intact
Avana,ACH-000009,Bowel,SC-000009.AV01,0,matrix_intact
Avana,ACH-000011,Bladder/Urinary Tract,SC-000011.AV01,0,matrix_intact
Avana,ACH-000012,Lung,SC-000012.AV01,0,matrix_intact
Avana,ACH-000013,Ovary/Fallopian Tube,SC-000013.AV01,0,matrix_intact
Avana,ACH-000015,Lung,SC-000015.AV01,0,matrix_intact
Avana,ACH-000017,Breast,SC-000017.AV01,0,matrix_intact
Avana,ACH-000018,Bladder/Urinary Tract,SC-000018.AV01,0,matrix_intact
Avana,ACH-000019,Breast,SC-000019.AV01,0,matrix_intact
Avana,ACH-000021,Lung,SC-000021.AV01,0,matrix_intact
Avana,ACH-000022,Pancreas,SC-000022.AV01,0,matrix_intact
Avana,ACH-000024,Lymphoid,SC-000024.AV01,0,matrix_intact
Avana,ACH-000025,CNS/Brain,SC-000025.AV01,0,matrix_intact
Avana,ACH-000028,Breast,SC-000028.AV01,0,matrix_intact
Avana,ACH-000029,Lung,SC-000029.AV01,0,matrix_intact
Avana,ACH-000030,Lung,SC-000030.AV01,0,matrix_intact
Avana,ACH-000035,Lung,SC-000035.AV01,0,matrix_intact
Avana,ACH-000036,CNS/Brain,SC-000036.AV01,0,matrix_intact
Avana,ACH-000037,Soft Tissue,SC-000037.AV01,0,matrix_intact
Avana,ACH-000039,Bone,SC-000039.AV01,0,matrix_intact
Avana,ACH-000040,CNS/Brain,SC-000040.AV01,0,matrix_intact
Avana,ACH-000041,Bone,SC-000041.AV01,0,matrix_intact
Avana,ACH-000042,Pancreas,SC-000042.AV01,0,matrix_intact
Avana,ACH-000045,Myeloid,SC-000045.AV02,0,matrix_intact
Avana,ACH-000047,Esophagus/Stomach,SC-000047.AV01,0,matrix_intact
Avana,ACH-000048,Ovary/Fallopian Tube,SC-000048.AV01,0,matrix_intact
Avana,ACH-000052,Bone,SC-000052.AV01,0,matrix_intact
Avana,ACH-000053,Lymphoid,SC-000053.AV01,0,matrix_intact
Avana,ACH-000054,Soft Tissue,SC-000054.AV01,0,matrix_intact
Avana,ACH-000055,CNS/Brain,SC-000055.AV01,0,matrix_intact
Avana,ACH-000060,Pancreas,SC-000060.AV01,2,damaging
Avana,ACH-000067,CNS/Brain,SC-000067.AV01,0,matrix_intact
Avana,ACH-000070,Lymphoid,SC-000070.AV01,0,matrix_intact
Avana,ACH-000074,Myeloid,SC-000074.AV01,0,matrix_intact
Avana,ACH-000075,CNS/Brain,SC-000075.AV01,0,matrix_intact
Avana,ACH-000076,Myeloid,SC-000076.AV01,0,matrix_intact
Avana,ACH-000077,Lymphoid,SC-000077.AV01,0,matrix_intact
Avana,ACH-000078,Peripheral Nervous System,SC-000078.AV01,0,matrix_intact
Avana,ACH-000082,Bone,SC-000082.AV01,0,matrix_intact
Avana,ACH-000085,Pancreas,SC-000085.AV01,1,damaging
Avana,ACH-000086,Pleura,SC-000086.AV01,0,matrix_intact
Avana,ACH-000090,Prostate,SC-000090.AV02,0,matrix_intact
Avana,ACH-000092,Pleura,SC-000092.AV01,0,matrix_intact
Avana,ACH-000093,Pancreas,SC-000093.AV01,0,matrix_intact
Avana,ACH-000095,CNS/Brain,SC-000095.AV01,0,matrix_intact
Avana,ACH-000097,Breast,SC-000097.AV01,0,matrix_intact
Avana,ACH-000098,CNS/Brain,SC-000098.AV01,0,matrix_intact
Avana,ACH-000099,Peripheral Nervous System,SC-000099.AV01,0,matrix_intact
Avana,ACH-000101,Lymphoid,SC-000101.AV01,0,matrix_intact
Avana,ACH-000108,Pancreas,SC-000108.AV01,0,matrix_intact
Avana,ACH-000111,Breast,SC-000111.AV01,0,matrix_intact
Avana,ACH-000113,Myeloid,SC-000113.AV01,0,matrix_intact
Avana,ACH-000114,Pancreas,SC-000114.AV01,0,matrix_intact
Avana,ACH-000115,Prostate,SC-000115.AV02,0,matrix_intact
Avana,ACH-000118,Pancreas,SC-000118.AV01,0,matrix_intact
Avana,ACH-000120,Peripheral Nervous System,SC-000120.AV01,0,matrix_intact
Avana,ACH-000123,Ovary/Fallopian Tube,SC-000123.AV01,0,matrix_intact
Avana,ACH-000127,Bladder/Urinary Tract,SC-000127.AV01,0,matrix_intact
Avana,ACH-000128,CNS/Brain,SC-000128.AV01,0,matrix_intact
Avana,ACH-000132,Ovary/Fallopian Tube,SC-000132.AV01,1,damaging
Avana,ACH-000133,Soft Tissue,SC-000133.AV01,0,matrix_intact
